EntryTime(KST),Type,Leverage,EntryPrice,ExitTime(KST),ExitPrice,Result,ROI% on Capital,Final Balance,5m_MACD,5m_Signal,5m_StochK,5m_StochD,5m_Cond,1h_MACD,1h_Signal,1h_StochK,1h_StochD,1h_Cond,1d_MACD,1d_Signal,1d_StochK,1d_StochD,1d_Cond
2025-07-27 08:00:00,SHORT,5x,117977.3,2025-07-30 01:38:00,116950.89749,WIN,4.00%,1035.33,9.77,12.89,19.47,28.68,short,253.95,270.55,19.72,46.07,short,2373.72,2733.27,1.65,7.36,short
2025-07-30 21:15:00,SHORT,5x,117464.1,2025-07-31 04:00:00,116442.16233,WIN,4.00%,1076.20,-182.55,-136.11,8.51,9.60,short,-70.69,-64.43,25.01,47.85,short,1861.71,2334.89,0.00,6.92,short
2025-07-31 23:25:00,SHORT,5x,117924.1,2025-08-01 04:35:00,116898.16033,WIN,4.00%,1118.69,-33.66,-24.71,58.99,64.75,short,132.99,151.34,39.82,55.52,short,1549.72,2177.86,0.00,3.18,short
2025-08-01 04:45:00,SHORT,5x,116809.9,2025-08-01 08:33:00,115793.65387,WIN,4.00%,1163.44,-267.20,-211.10,0.00,0.19,short,-103.54,61.61,0.00,19.74,short,1549.72,2177.86,0.00,3.18,short
2025-08-11 09:30:00,LONG,5x,119294.7,2025-08-11 11:00:00,120332.56388999999,WIN,4.00%,1209.98,145.56,143.70,85.46,69.48,long,437.74,418.26,85.72,69.55,long,718.76,614.84,81.12,70.48,long
2025-08-11 11:05:00,LONG,5x,120799.9,2025-08-11 11:57:00,121850.85912999998,WIN,4.00%,1258.38,268.55,151.68,94.80,89.62,long,708.57,491.47,90.47,88.89,long,718.76,614.84,81.12,70.48,long
2025-08-11 12:00:00,LONG,5x,121731.8,2025-08-12 06:53:00,118079.846,LOSS,-15.35%,1064.15,670.20,588.07,85.25,83.64,long,708.57,491.47,90.47,88.89,long,718.76,614.84,81.12,70.48,long
2025-08-12 21:30:00,LONG,5x,118878,2025-08-13 00:34:00,119912.2386,WIN,4.00%,1106.72,-36.96,-37.68,38.23,32.29,long,-252.26,-258.09,46.37,27.78,long,927.91,677.45,96.40,82.65,long
2025-08-13 00:35:00,LONG,5x,119739.5,2025-08-13 22:48:00,120781.23365,WIN,4.00%,1149.26,211.60,155.74,100.00,98.32,long,-80.67,-205.73,86.97,78.87,long,927.91,677.45,96.40,82.65,long
2025-08-14 02:05:00,LONG,5x,121666.6,2025-08-14 04:55:00,122725.09942,WIN,4.00%,1195.23,109.06,104.00,60.12,52.32,long,522.31,347.70,69.69,67.45,long,1339.89,809.94,96.40,91.31,long
