EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,Profit%,Balance
2025-01-01T01:25:00.000Z,SHORT,93800,2025-01-13T11:40:00.000Z,90986,WIN,3.00%,1030.00
2025-01-13T16:00:00.000Z,SHORT,92042.1,2025-01-19T19:50:00.000Z,105848.415,LOSS,-15.00%,875.50
2025-01-20T13:05:00.000Z,LONG,107021.3,2025-02-25T00:10:00.000Z,90968.105,LOSS,-15.00%,744.17
2025-02-25T03:20:00.000Z,SHORT,92000.9,2025-02-25T07:25:00.000Z,89240.87299999999,WIN,3.00%,766.50
2025-02-25T12:50:00.000Z,SHORT,88987.6,2025-02-25T15:20:00.000Z,86317.97200000001,WIN,3.00%,789.50
2025-02-26T16:05:00.000Z,SHORT,87189.2,2025-02-26T18:35:00.000Z,84573.52399999999,WIN,3.00%,813.18
2025-02-26T22:40:00.000Z,SHORT,84256.9,2025-02-28T01:30:00.000Z,81729.193,WIN,3.00%,837.58
2025-02-28T10:15:00.000Z,SHORT,79870,2025-03-02T16:50:00.000Z,91850.5,LOSS,-15.00%,711.94
2025-03-03T06:10:00.000Z,SHORT,92935.8,2025-03-03T14:50:00.000Z,90147.726,WIN,3.00%,733.30
2025-03-03T23:50:00.000Z,SHORT,86239.2,2025-03-04T01:40:00.000Z,83652.02399999999,WIN,3.00%,755.30
2025-03-04T06:20:00.000Z,SHORT,84077.7,2025-03-04T15:20:00.000Z,81555.36899999999,WIN,3.00%,777.96
2025-03-06T01:25:00.000Z,LONG,90289.6,2025-03-11T00:35:00.000Z,76746.16,LOSS,-15.00%,661.26
2025-03-12T09:10:00.000Z,SHORT,82525.6,2025-03-13T17:40:00.000Z,80049.83200000001,WIN,3.00%,681.10
2025-03-13T23:25:00.000Z,SHORT,81060.8,2025-04-06T20:35:00.000Z,78628.976,WIN,3.00%,701.53
2025-04-07T02:20:00.000Z,SHORT,78714,2025-04-07T06:15:00.000Z,76352.58,WIN,3.00%,722.58
2025-04-07T09:20:00.000Z,SHORT,75907.8,2025-04-21T01:35:00.000Z,87293.97,LOSS,-15.00%,614.19
2025-04-21T12:00:00.000Z,LONG,87062.4,2025-04-22T13:15:00.000Z,89674.272,WIN,3.00%,632.62
2025-04-23T02:25:00.000Z,LONG,92957.5,2025-04-25T14:55:00.000Z,95746.225,WIN,3.00%,651.60
2025-04-25T18:30:00.000Z,LONG,94900.8,2025-05-02T14:50:00.000Z,97747.82400000001,WIN,3.00%,671.14
2025-05-05T21:00:00.000Z,LONG,94397.1,2025-05-07T00:20:00.000Z,97229.013,WIN,3.00%,691.28
2025-05-07T03:50:00.000Z,LONG,96505.2,2025-05-08T08:05:00.000Z,99400.356,WIN,3.00%,712.02
2025-05-08T13:20:00.000Z,LONG,99325.1,2025-05-08T20:50:00.000Z,102304.853,WIN,3.00%,733.38
2025-05-09T01:45:00.000Z,LONG,102869.6,2025-05-18T16:55:00.000Z,105955.68800000001,WIN,3.00%,755.38
2025-05-18T19:00:00.000Z,LONG,104502.5,2025-05-21T04:35:00.000Z,107637.575,WIN,3.00%,778.04
2025-05-21T19:00:00.000Z,LONG,107101.3,2025-05-21T23:25:00.000Z,110314.339,WIN,3.00%,801.38
2025-05-22T07:30:00.000Z,LONG,110807.1,2025-07-10T21:15:00.000Z,114131.31300000001,WIN,3.00%,825.42
2025-07-13T10:05:00.000Z,LONG,117810.3,2025-07-14T03:40:00.000Z,121344.60900000001,WIN,3.00%,850.19
2025-07-14T10:35:00.000Z,LONG,122117.7,2025-10-05T04:45:00.000Z,125781.231,WIN,3.00%,875.69
2025-10-06T05:45:00.000Z,LONG,123667.2,2025-10-10T21:15:00.000Z,105117.12,LOSS,-15.00%,744.34
2025-10-11T03:20:00.000Z,SHORT,112039.9,2025-10-16T15:45:00.000Z,108678.703,WIN,3.00%,766.67
2025-10-16T22:20:00.000Z,SHORT,107990.7,2025-10-17T08:15:00.000Z,104750.97899999999,WIN,3.00%,789.67
2025-10-17T12:20:00.000Z,SHORT,105736.2,2025-11-04T16:20:00.000Z,102564.114,WIN,3.00%,813.36
2025-11-04T23:20:00.000Z,SHORT,101068.2,2025-11-13T20:15:00.000Z,98036.154,WIN,3.00%,837.76
2025-11-13T23:50:00.000Z,SHORT,99757.9,2025-11-14T04:35:00.000Z,96765.16299999999,WIN,3.00%,862.89
2025-11-17T23:10:00.000Z,SHORT,91981.1,2025-11-18T04:45:00.000Z,89221.667,WIN,3.00%,888.78
2025-11-19T08:35:00.000Z,SHORT,91623.1,2025-11-19T17:35:00.000Z,88874.407,WIN,3.00%,915.44
2025-11-19T22:15:00.000Z,SHORT,90222.4,2025-11-20T16:55:00.000Z,87515.72799999999,WIN,3.00%,942.90
2025-11-20T23:05:00.000Z,SHORT,87613.1,2025-11-21T07:30:00.000Z,84984.70700000001,WIN,3.00%,971.19
2025-11-24T02:55:00.000Z,SHORT,87483.6,2025-12-01T12:45:00.000Z,84859.092,WIN,3.00%,1000.33
2025-12-01T19:55:00.000Z,LONG,84985,2025-12-02T10:50:00.000Z,87534.55,WIN,3.00%,1030.34
2025-12-02T21:15:00.000Z,LONG,91162.4,2025-12-03T06:20:00.000Z,93897.272,WIN,3.00%,1061.25
2025-12-06T09:10:00.000Z,LONG,89474.4,2025-12-08T09:05:00.000Z,92158.632,WIN,3.00%,1093.08
2025-12-08T13:05:00.000Z,LONG,91843.2,2026-01-05T20:25:00.000Z,94598.496,WIN,3.00%,1125.88
2026-01-05T21:55:00.000Z,LONG,94049.1,2026-01-14T15:10:00.000Z,96870.573,WIN,3.00%,1159.65
2026-01-14T19:10:00.000Z,LONG,96949.9,2026-01-30T01:35:00.000Z,82407.415,LOSS,-15.00%,985.71
2026-01-30T05:20:00.000Z,SHORT,82975,2026-01-31T16:15:00.000Z,80485.75,WIN,3.00%,1015.28
2026-01-31T22:45:00.000Z,SHORT,77968.3,2026-02-02T03:15:00.000Z,75629.251,WIN,3.00%,1045.73
2026-02-03T05:10:00.000Z,SHORT,78468,2026-02-03T17:05:00.000Z,76113.95999999999,WIN,3.00%,1077.11
2026-02-03T21:35:00.000Z,SHORT,76186.1,2026-02-04T15:00:00.000Z,73900.517,WIN,3.00%,1109.42
2026-02-04T20:30:00.000Z,SHORT,73513.4,2026-02-05T02:55:00.000Z,71307.99799999999,WIN,3.00%,1142.70
2026-02-05T07:55:00.000Z,SHORT,70716.1,2026-02-05T15:05:00.000Z,68594.617,WIN,3.00%,1176.98
2026-02-06T02:20:00.000Z,SHORT,64348.3,2026-02-24T13:30:00.000Z,62417.851,WIN,3.00%,1212.29
2026-02-24T14:10:00.000Z,LONG,62919.8,2026-02-25T01:10:00.000Z,64807.39400000001,WIN,3.00%,1248.66
2026-02-25T04:35:00.000Z,LONG,65581.4,2026-02-25T16:05:00.000Z,67548.84199999999,WIN,3.00%,1286.12
2026-02-26T00:10:00.000Z,LONG,68123.5,2026-03-04T08:45:00.000Z,70167.205,WIN,3.00%,1324.71
2026-03-04T12:50:00.000Z,LONG,71106.3,2026-03-04T15:55:00.000Z,73239.489,WIN,3.00%,1364.45
2026-03-04T21:40:00.000Z,LONG,73199.1,2026-03-17T00:10:00.000Z,75395.073,WIN,3.00%,1405.38
