EntryTime,Type,Leverage,EntryPrice,ExitTime,ExitPrice,Result,ROI% on Capital,Final Balance
2025-01-05T00:10:00.000Z,LONG,5x,98240.5,2025-01-05T23:00:00.000Z,98829.943,WIN,3.00%,1030.00
2025-01-06T01:40:00.000Z,LONG,5x,98232.4,2025-01-06T02:00:00.000Z,98821.7944,WIN,3.00%,1060.90
2025-01-06T08:05:00.000Z,LONG,5x,99452.8,2025-01-06T14:45:00.000Z,100049.5168,WIN,3.00%,1092.73
2025-01-06T22:25:00.000Z,LONG,5x,101897.6,2025-01-07T00:35:00.000Z,102508.9856,WIN,3.00%,1125.51
2025-01-09T11:45:00.000Z,SHORT,5x,93391.9,2025-01-09T13:20:00.000Z,92831.5486,WIN,3.00%,1159.27
2025-01-11T06:50:00.000Z,SHORT,5x,94200,2025-01-13T06:45:00.000Z,93634.8,WIN,3.00%,1194.05
2025-01-15T18:25:00.000Z,LONG,5x,99027.2,2025-01-15T19:35:00.000Z,99621.36319999999,WIN,3.00%,1229.87
2025-01-16T23:00:00.000Z,LONG,5x,99791.5,2025-01-17T00:15:00.000Z,100390.249,WIN,3.00%,1266.77
2025-01-17T22:35:00.000Z,LONG,5x,104563.3,2025-01-19T02:25:00.000Z,105190.6798,WIN,3.00%,1304.77
2025-01-22T00:00:00.000Z,LONG,5x,105981.7,2025-01-23T01:45:00.000Z,102802.249,LOSS,-15.00%,1109.06
2025-01-23T20:15:00.000Z,LONG,5x,104641.3,2025-01-23T20:20:00.000Z,105269.1478,WIN,3.00%,1142.33
2025-01-23T20:45:00.000Z,LONG,5x,103837.1,2025-01-23T22:30:00.000Z,104460.1226,WIN,3.00%,1176.60
2025-01-28T16:00:00.000Z,SHORT,5x,102601.2,2025-01-28T16:25:00.000Z,101985.5928,WIN,3.00%,1211.90
2025-01-28T18:40:00.000Z,SHORT,5x,102499.2,2025-01-28T19:05:00.000Z,101884.20479999999,WIN,3.00%,1248.25
2025-01-29T01:25:00.000Z,SHORT,5x,101627.5,2025-01-29T20:25:00.000Z,104676.325,LOSS,-15.00%,1061.02
2025-02-01T01:55:00.000Z,SHORT,5x,102521.2,2025-02-01T08:25:00.000Z,101906.0728,WIN,3.00%,1092.85
2025-02-02T01:45:00.000Z,SHORT,5x,101226,2025-02-02T02:35:00.000Z,100618.644,WIN,3.00%,1125.63
2025-02-02T06:55:00.000Z,SHORT,5x,100227.7,2025-02-02T07:40:00.000Z,99626.3338,WIN,3.00%,1159.40
2025-02-02T15:05:00.000Z,SHORT,5x,99055,2025-02-02T16:45:00.000Z,98460.67,WIN,3.00%,1194.18
2025-02-02T20:35:00.000Z,SHORT,5x,97864,2025-02-02T21:20:00.000Z,97276.816,WIN,3.00%,1230.01
2025-02-06T02:35:00.000Z,SHORT,5x,97140.5,2025-02-06T16:40:00.000Z,96557.657,WIN,3.00%,1266.91
2025-02-06T21:25:00.000Z,SHORT,5x,96489.1,2025-02-07T14:05:00.000Z,99383.77300000002,LOSS,-15.00%,1076.87
2025-02-08T01:00:00.000Z,SHORT,5x,96643.9,2025-02-08T05:05:00.000Z,96064.03659999999,WIN,3.00%,1109.18
2025-02-08T10:45:00.000Z,SHORT,5x,96050,2025-02-09T21:35:00.000Z,95473.7,WIN,3.00%,1142.45
2025-02-17T07:10:00.000Z,SHORT,5x,96248.8,2025-02-17T15:45:00.000Z,95671.3072,WIN,3.00%,1176.73
2025-02-18T22:05:00.000Z,SHORT,5x,94899.9,2025-02-20T14:15:00.000Z,97746.897,LOSS,-15.00%,1000.22
2025-02-20T22:30:00.000Z,LONG,5x,98211.9,2025-02-21T09:15:00.000Z,98801.17139999999,WIN,3.00%,1030.22
2025-02-24T18:00:00.000Z,SHORT,5x,94592,2025-02-24T19:40:00.000Z,94024.448,WIN,3.00%,1061.13
2025-02-25T03:20:00.000Z,SHORT,5x,92000.9,2025-02-25T06:35:00.000Z,91448.8946,WIN,3.00%,1092.97
2025-02-25T12:50:00.000Z,SHORT,5x,88987.6,2025-02-25T14:35:00.000Z,88453.6744,WIN,3.00%,1125.75
2025-02-26T16:05:00.000Z,SHORT,5x,87189.2,2025-02-26T16:15:00.000Z,86666.0648,WIN,3.00%,1159.53
2025-02-26T22:40:00.000Z,SHORT,5x,84256.9,2025-02-27T10:50:00.000Z,86784.60699999999,LOSS,-15.00%,985.60
2025-02-27T22:30:00.000Z,SHORT,5x,83989.8,2025-02-28T01:25:00.000Z,83485.8612,WIN,3.00%,1015.17
2025-03-06T01:25:00.000Z,LONG,5x,90289.6,2025-03-06T01:45:00.000Z,90831.33760000001,WIN,3.00%,1045.62
2025-03-07T18:00:00.000Z,LONG,5x,88134.4,2025-03-07T18:50:00.000Z,88663.2064,WIN,3.00%,1076.99
2025-03-08T01:05:00.000Z,SHORT,5x,86538.2,2025-03-08T01:20:00.000Z,86018.9708,WIN,3.00%,1109.30
2025-03-08T05:25:00.000Z,SHORT,5x,86184.1,2025-03-08T17:15:00.000Z,85666.9954,WIN,3.00%,1142.58
2025-03-09T21:00:00.000Z,SHORT,5x,82900.2,2025-03-09T21:15:00.000Z,82402.79879999999,WIN,3.00%,1176.86
2025-03-10T20:45:00.000Z,SHORT,5x,78825,2025-03-11T00:15:00.000Z,78352.05,WIN,3.00%,1212.16
2025-03-15T00:20:00.000Z,LONG,5x,84070.9,2025-03-15T02:50:00.000Z,84575.3254,WIN,3.00%,1248.53
2025-03-17T06:50:00.000Z,LONG,5x,83232.2,2025-03-17T09:20:00.000Z,83731.5932,WIN,3.00%,1285.98
2025-03-17T11:20:00.000Z,LONG,5x,83536.7,2025-03-17T17:30:00.000Z,84037.9202,WIN,3.00%,1324.56
2025-03-17T21:45:00.000Z,LONG,5x,84101.6,2025-03-18T13:35:00.000Z,81578.55200000001,LOSS,-15.00%,1125.88
2025-03-19T18:15:00.000Z,LONG,5x,84450,2025-03-19T18:50:00.000Z,84956.7,WIN,3.00%,1159.65
2025-03-20T02:35:00.000Z,LONG,5x,85889.9,2025-03-20T14:25:00.000Z,86405.23939999999,WIN,3.00%,1194.44
2025-03-21T20:25:00.000Z,LONG,5x,84050.6,2025-03-23T11:00:00.000Z,84554.9036,WIN,3.00%,1230.28
2025-03-23T18:50:00.000Z,LONG,5x,84960.9,2025-03-23T22:15:00.000Z,85470.6654,WIN,3.00%,1267.18
2025-03-24T02:40:00.000Z,LONG,5x,85714.9,2025-03-24T03:15:00.000Z,86229.18939999999,WIN,3.00%,1305.20
2025-03-24T13:35:00.000Z,LONG,5x,87369.8,2025-03-24T14:00:00.000Z,87894.0188,WIN,3.00%,1344.36
2025-03-25T19:05:00.000Z,LONG,5x,88007.5,2025-03-28T07:30:00.000Z,85367.275,LOSS,-15.00%,1142.70
2025-04-01T12:25:00.000Z,LONG,5x,84025,2025-04-01T15:10:00.000Z,84529.15,WIN,3.00%,1176.98
2025-04-02T19:35:00.000Z,LONG,5x,86361,2025-04-02T19:55:00.000Z,86879.166,WIN,3.00%,1212.29
2025-04-05T00:15:00.000Z,LONG,5x,83804.8,2025-04-06T17:40:00.000Z,81290.656,LOSS,-15.00%,1030.45
2025-04-07T02:20:00.000Z,SHORT,5x,78714,2025-04-07T03:05:00.000Z,78241.716,WIN,3.00%,1061.36
2025-04-07T09:20:00.000Z,SHORT,5x,75907.8,2025-04-07T13:55:00.000Z,78185.034,LOSS,-15.00%,902.16
2025-04-08T14:00:00.000Z,SHORT,5x,79961.6,2025-04-08T14:25:00.000Z,79481.8304,WIN,3.00%,929.22
2025-04-11T12:40:00.000Z,LONG,5x,82257.2,2025-04-11T13:35:00.000Z,82750.7432,WIN,3.00%,957.10
2025-04-11T15:25:00.000Z,LONG,5x,82144.1,2025-04-11T15:35:00.000Z,82636.9646,WIN,3.00%,985.81
2025-04-11T23:35:00.000Z,LONG,5x,83384.4,2025-04-12T08:10:00.000Z,83884.7064,WIN,3.00%,1015.39
2025-04-12T17:40:00.000Z,LONG,5x,84814.9,2025-04-12T20:30:00.000Z,85323.7894,WIN,3.00%,1045.85
2025-04-13T00:05:00.000Z,LONG,5x,85357,2025-04-13T01:30:00.000Z,85869.142,WIN,3.00%,1077.22
2025-04-14T06:40:00.000Z,LONG,5x,84507.3,2025-04-14T12:30:00.000Z,85014.3438,WIN,3.00%,1109.54
2025-04-14T14:25:00.000Z,LONG,5x,85045.7,2025-04-14T14:35:00.000Z,85555.9742,WIN,3.00%,1142.83
2025-04-14T21:10:00.000Z,LONG,5x,84882.8,2025-04-15T03:40:00.000Z,85392.0968,WIN,3.00%,1177.11
2025-04-17T00:35:00.000Z,LONG,5x,84100.1,2025-04-17T06:25:00.000Z,84604.70060000001,WIN,3.00%,1212.43
2025-04-17T09:45:00.000Z,LONG,5x,84453.3,2025-04-17T16:30:00.000Z,84960.01980000001,WIN,3.00%,1248.80
2025-04-17T20:05:00.000Z,LONG,5x,85014,2025-04-19T15:30:00.000Z,85524.084,WIN,3.00%,1286.26
2025-04-20T23:00:00.000Z,LONG,5x,84982.9,2025-04-21T00:20:00.000Z,85492.7974,WIN,3.00%,1324.85
2025-04-21T12:00:00.000Z,LONG,5x,87062.4,2025-04-21T14:10:00.000Z,87584.7744,WIN,3.00%,1364.60
2025-04-23T02:25:00.000Z,LONG,5x,92957.5,2025-04-23T04:55:00.000Z,93515.245,WIN,3.00%,1405.53
2025-04-24T18:10:00.000Z,LONG,5x,93268.2,2025-04-24T23:30:00.000Z,93827.8092,WIN,3.00%,1447.70
2025-05-01T00:00:00.000Z,LONG,5x,94190.3,2025-05-01T02:05:00.000Z,94755.4418,WIN,3.00%,1491.13
2025-05-01T18:45:00.000Z,LONG,5x,96842.1,2025-05-02T14:35:00.000Z,97423.1526,WIN,3.00%,1535.86
2025-05-07T03:50:00.000Z,LONG,5x,96505.2,2025-05-07T12:15:00.000Z,97084.2312,WIN,3.00%,1581.94
2025-05-08T13:20:00.000Z,LONG,5x,99325.1,2025-05-08T15:20:00.000Z,99921.0506,WIN,3.00%,1629.40
2025-05-09T01:45:00.000Z,LONG,5x,102869.6,2025-05-09T07:10:00.000Z,103486.81760000001,WIN,3.00%,1678.28
2025-05-11T03:25:00.000Z,LONG,5x,103940.5,2025-05-11T10:55:00.000Z,104564.143,WIN,3.00%,1728.63
2025-05-17T04:45:00.000Z,SHORT,5x,103454.1,2025-05-17T09:25:00.000Z,102833.3754,WIN,3.00%,1780.49
2025-05-17T15:40:00.000Z,SHORT,5x,103012,2025-05-18T23:50:00.000Z,106102.36,LOSS,-15.00%,1513.41
2025-05-19T09:05:00.000Z,SHORT,5x,103001,2025-05-19T12:35:00.000Z,102382.994,WIN,3.00%,1558.82
2025-05-21T02:35:00.000Z,LONG,5x,106757.2,2025-05-21T04:35:00.000Z,107397.7432,WIN,3.00%,1605.58
2025-05-21T19:00:00.000Z,LONG,5x,107101.3,2025-05-21T19:35:00.000Z,107743.9078,WIN,3.00%,1653.75
2025-05-22T07:30:00.000Z,LONG,5x,110807.1,2025-05-22T12:35:00.000Z,111471.94260000001,WIN,3.00%,1703.36
2025-05-25T04:00:00.000Z,SHORT,5x,108018.5,2025-05-25T08:25:00.000Z,107370.389,WIN,3.00%,1754.46
2025-05-25T13:10:00.000Z,SHORT,5x,107329.9,2025-05-25T15:25:00.000Z,106685.9206,WIN,3.00%,1807.10
2025-05-26T16:15:00.000Z,SHORT,5x,109657,2025-05-26T17:45:00.000Z,108999.058,WIN,3.00%,1861.31
2025-05-26T21:15:00.000Z,SHORT,5x,109188.2,2025-05-27T01:15:00.000Z,108533.0708,WIN,3.00%,1917.15
2025-05-28T06:00:00.000Z,SHORT,5x,108836.7,2025-05-28T10:15:00.000Z,108183.6798,WIN,3.00%,1974.66
2025-05-28T12:50:00.000Z,SHORT,5x,108766.3,2025-05-28T13:55:00.000Z,108113.7022,WIN,3.00%,2033.90
2025-05-28T18:30:00.000Z,SHORT,5x,107466.8,2025-05-28T20:00:00.000Z,106821.9992,WIN,3.00%,2094.92
2025-05-28T22:10:00.000Z,SHORT,5x,107270,2025-05-29T14:30:00.000Z,106626.38,WIN,3.00%,2157.77
2025-05-29T22:20:00.000Z,SHORT,5x,106268.1,2025-05-29T23:25:00.000Z,105630.4914,WIN,3.00%,2222.50
2025-05-30T03:10:00.000Z,SHORT,5x,105956.4,2025-05-30T07:30:00.000Z,105320.66159999999,WIN,3.00%,2289.17
2025-05-30T19:40:00.000Z,SHORT,5x,104595.7,2025-05-30T22:40:00.000Z,103968.1258,WIN,3.00%,2357.85
