EntryTime(KST),Type,Leverage,EntryPrice,ExitTime(KST),ExitPrice,Result,ROI% on Capital,Final Balance,5m_MACD,5m_Signal,5m_StochK,5m_StochD,5m_Cond,1h_MACD,1h_Signal,1h_StochK,1h_StochD,1h_Cond,1d_MACD,1d_Signal,1d_StochK,1d_StochD,1d_Cond
2025-01-06 05:00:00,LONG,5x,97989.5,2025-01-06 05:15:00,98577.437,WIN,3.00%,1030.00,49.90,40.11,73.54,71.80,long,3.91,-15.84,69.90,51.14,long,24.67,-76.07,100.00,88.85,long
2025-01-06 06:50:00,LONG,5x,98491.6,2025-01-06 11:05:00,99082.54960000001,WIN,3.00%,1060.90,93.65,93.36,67.44,59.31,long,45.35,-3.60,88.65,67.19,long,24.67,-76.07,100.00,88.85,long
2025-01-06 12:20:00,LONG,5x,99043.4,2025-01-06 14:30:00,99637.6604,WIN,3.00%,1092.73,133.57,132.56,50.18,30.99,long,208.38,109.04,92.60,78.44,long,457.79,30.70,100.00,97.93,long
2025-01-06 22:50:00,LONG,5x,99419.5,2025-01-06 23:45:00,100016.017,WIN,3.00%,1125.51,17.95,11.13,70.80,54.17,long,298.97,285.72,40.39,28.40,long,457.79,30.70,100.00,97.93,long
2025-01-07 00:10:00,LONG,5x,101202.4,2025-01-07 00:30:00,101809.61439999999,WIN,3.00%,1159.27,470.01,255.09,92.59,91.04,long,601.40,368.49,84.26,61.72,long,457.79,30.70,100.00,97.93,long
2025-01-07 00:50:00,LONG,5x,102306.1,2025-01-08 00:00:00,99236.917,LOSS,-15.00%,985.38,711.61,587.81,98.64,96.81,long,601.40,368.49,84.26,61.72,long,457.79,30.70,100.00,97.93,long
2025-01-09 17:00:00,SHORT,5x,93127,2025-01-09 22:30:00,92568.238,WIN,3.00%,1014.94,-276.12,-193.41,0.00,6.35,short,-734.37,-703.51,24.65,46.02,short,-227.69,41.68,20.71,51.40,short
2025-01-09 22:55:00,SHORT,5x,91926.8,2025-01-10 05:20:00,91375.2392,WIN,3.00%,1045.39,-344.69,-227.59,16.04,17.80,short,-797.39,-728.33,26.55,36.10,short,-227.69,41.68,20.71,51.40,short
2025-01-11 01:35:00,SHORT,5x,93214.4,2025-01-13 18:30:00,92655.1136,WIN,3.00%,1076.75,-128.33,-116.72,6.90,24.70,short,112.80,129.64,14.74,23.69,short,-347.17,-36.09,15.44,29.96,short
2025-01-15 22:00:00,LONG,5x,97020.9,2025-01-15 22:30:00,97603.0254,WIN,3.00%,1109.06,27.16,-25.83,76.28,74.76,long,506.86,492.22,38.79,17.15,long,-36.19,-255.85,49.67,33.58,long
