EntryTime,Type,Leverage,EntryPrice,ExitTime,ExitPrice,Result,ROI% on Capital,Final Balance
2025-01-05T20:00:00.000Z,LONG,5x,97989.5,2025-01-05T20:15:00.000Z,98577.437,WIN,3.00%,1030.00
2025-01-05T21:50:00.000Z,LONG,5x,98491.6,2025-01-06T02:05:00.000Z,99082.54960000001,WIN,3.00%,1060.90
2025-01-06T03:20:00.000Z,LONG,5x,99043.4,2025-01-06T05:30:00.000Z,99637.6604,WIN,3.00%,1092.73
2025-01-06T13:50:00.000Z,LONG,5x,99419.5,2025-01-06T14:45:00.000Z,100016.017,WIN,3.00%,1125.51
2025-01-06T15:10:00.000Z,LONG,5x,101202.4,2025-01-06T15:30:00.000Z,101809.61439999999,WIN,3.00%,1159.27
2025-01-06T15:50:00.000Z,LONG,5x,102306.1,2025-01-07T15:00:00.000Z,99236.917,LOSS,-15.00%,985.38
2025-01-09T08:00:00.000Z,SHORT,5x,93127,2025-01-09T13:30:00.000Z,92568.238,WIN,3.00%,1014.94
2025-01-09T13:55:00.000Z,SHORT,5x,91926.8,2025-01-09T20:20:00.000Z,91375.2392,WIN,3.00%,1045.39
2025-01-10T16:35:00.000Z,SHORT,5x,93214.4,2025-01-13T09:30:00.000Z,92655.1136,WIN,3.00%,1076.75
2025-01-15T13:00:00.000Z,LONG,5x,97020.9,2025-01-15T13:30:00.000Z,97603.0254,WIN,3.00%,1109.06
2025-01-15T15:00:00.000Z,LONG,5x,99514.8,2025-01-15T20:05:00.000Z,100111.8888,WIN,3.00%,1142.33
2025-01-15T23:20:00.000Z,LONG,5x,99766,2025-01-15T23:55:00.000Z,100364.596,WIN,3.00%,1176.60
2025-01-16T19:35:00.000Z,LONG,5x,99989.6,2025-01-16T20:00:00.000Z,100589.53760000001,WIN,3.00%,1211.90
2025-01-16T20:25:00.000Z,LONG,5x,100579.9,2025-01-17T01:35:00.000Z,101183.37939999999,WIN,3.00%,1248.25
2025-01-17T02:15:00.000Z,LONG,5x,102046.6,2025-01-17T12:40:00.000Z,102658.8796,WIN,3.00%,1285.70
2025-01-17T14:30:00.000Z,LONG,5x,102816.9,2025-01-17T15:00:00.000Z,103433.8014,WIN,3.00%,1324.27
2025-01-17T16:10:00.000Z,LONG,5x,104384.2,2025-01-17T17:25:00.000Z,105010.5052,WIN,3.00%,1364.00
2025-01-18T23:00:00.000Z,LONG,5x,104409.7,2025-01-19T02:20:00.000Z,105036.15819999999,WIN,3.00%,1404.92
2025-01-23T14:25:00.000Z,LONG,5x,102398.7,2025-01-23T14:30:00.000Z,103013.0922,WIN,3.00%,1447.07
2025-01-23T15:45:00.000Z,LONG,5x,105045.7,2025-01-23T16:05:00.000Z,105675.9742,WIN,3.00%,1490.48
2025-01-23T23:05:00.000Z,LONG,5x,104186.8,2025-01-24T04:45:00.000Z,104811.9208,WIN,3.00%,1535.19
2025-01-28T16:00:00.000Z,SHORT,5x,102601.2,2025-01-28T16:25:00.000Z,101985.5928,WIN,3.00%,1581.25
