EntryTime(KST),Type,Leverage,EntryPrice,ExitTime(KST),ExitPrice,Result,ROI% on Capital,Final Balance
2025-01-06 05:00:00,LONG,5x,97989.5,2025-01-06 05:15:00,98577.437,WIN,3.00%,1030.00
2025-01-06 06:50:00,LONG,5x,98491.6,2025-01-06 11:05:00,99082.54960000001,WIN,3.00%,1060.90
2025-01-06 12:20:00,LONG,5x,99043.4,2025-01-06 14:30:00,99637.6604,WIN,3.00%,1092.73
2025-01-06 22:50:00,LONG,5x,99419.5,2025-01-06 23:45:00,100016.017,WIN,3.00%,1125.51
2025-01-07 00:10:00,LONG,5x,101202.4,2025-01-07 00:30:00,101809.61439999999,WIN,3.00%,1159.27
2025-01-07 00:50:00,LONG,5x,102306.1,2025-01-08 00:00:00,99236.917,LOSS,-15.00%,985.38
2025-01-09 17:00:00,SHORT,5x,93127,2025-01-09 22:30:00,92568.238,WIN,3.00%,1014.94
2025-01-09 22:55:00,SHORT,5x,91926.8,2025-01-10 05:20:00,91375.2392,WIN,3.00%,1045.39
2025-01-11 01:35:00,SHORT,5x,93214.4,2025-01-13 18:30:00,92655.1136,WIN,3.00%,1076.75
2025-01-15 22:00:00,LONG,5x,97020.9,2025-01-15 22:30:00,97603.0254,WIN,3.00%,1109.06
2025-01-16 00:00:00,LONG,5x,99514.8,2025-01-16 05:05:00,100111.8888,WIN,3.00%,1142.33
2025-01-16 08:20:00,LONG,5x,99766,2025-01-16 08:55:00,100364.596,WIN,3.00%,1176.60
2025-01-17 04:35:00,LONG,5x,99989.6,2025-01-17 05:00:00,100589.53760000001,WIN,3.00%,1211.90
2025-01-17 05:25:00,LONG,5x,100579.9,2025-01-17 10:35:00,101183.37939999999,WIN,3.00%,1248.25
2025-01-17 11:15:00,LONG,5x,102046.6,2025-01-17 21:40:00,102658.8796,WIN,3.00%,1285.70
2025-01-17 23:30:00,LONG,5x,102816.9,2025-01-18 00:00:00,103433.8014,WIN,3.00%,1324.27
2025-01-18 01:10:00,LONG,5x,104384.2,2025-01-18 02:25:00,105010.5052,WIN,3.00%,1364.00
2025-01-19 08:00:00,LONG,5x,104409.7,2025-01-19 11:20:00,105036.15819999999,WIN,3.00%,1404.92
2025-01-23 23:25:00,LONG,5x,102398.7,2025-01-23 23:30:00,103013.0922,WIN,3.00%,1447.07
2025-01-24 00:45:00,LONG,5x,105045.7,2025-01-24 01:05:00,105675.9742,WIN,3.00%,1490.48
2025-01-24 08:05:00,LONG,5x,104186.8,2025-01-24 13:45:00,104811.9208,WIN,3.00%,1535.19
2025-01-29 01:00:00,SHORT,5x,102601.2,2025-01-29 01:25:00,101985.5928,WIN,3.00%,1581.25
2025-01-29 03:05:00,SHORT,5x,102371.5,2025-01-29 05:45:00,101757.271,WIN,3.00%,1628.69
2025-01-29 06:35:00,SHORT,5x,100861.1,2025-01-29 06:50:00,100255.93340000001,WIN,3.00%,1677.55
2025-01-29 22:00:00,SHORT,5x,102079.3,2025-01-30 04:15:00,101466.8242,WIN,3.00%,1727.87
2025-02-01 12:00:00,SHORT,5x,102335.7,2025-02-01 18:30:00,101721.68579999999,WIN,3.00%,1779.71
2025-02-02 07:15:00,SHORT,5x,100757.8,2025-02-02 12:05:00,100153.2532,WIN,3.00%,1833.10
2025-02-02 12:15:00,SHORT,5x,100043.9,2025-02-02 12:25:00,99443.6366,WIN,3.00%,1888.10
2025-02-02 13:00:00,SHORT,5x,99070,2025-02-02 21:35:00,98475.58,WIN,3.00%,1944.74
2025-02-03 02:20:00,SHORT,5x,97692.5,2025-02-03 02:50:00,97106.345,WIN,3.00%,2003.08
2025-02-07 01:20:00,SHORT,5x,96937,2025-02-07 01:55:00,96355.378,WIN,3.00%,2063.17
2025-02-07 03:15:00,SHORT,5x,96215.5,2025-02-07 04:45:00,95638.207,WIN,3.00%,2125.07
2025-02-07 09:40:00,SHORT,5x,96461,2025-02-07 23:05:00,99354.83,LOSS,-15.00%,1806.31
2025-02-08 04:05:00,SHORT,5x,97361.6,2025-02-08 05:00:00,96777.43040000001,WIN,3.00%,1860.50
2025-02-08 05:30:00,SHORT,5x,95999.9,2025-02-10 06:35:00,95423.9006,WIN,3.00%,1916.31
2025-02-17 13:10:00,SHORT,5x,96038.5,2025-02-18 01:10:00,95462.269,WIN,3.00%,1973.80
2025-02-18 01:20:00,SHORT,5x,95647.5,2025-02-18 17:45:00,95073.615,WIN,3.00%,2033.02
